subject_id,condition,p1_amp,p1_lat_ms,n_epochs,n1_amp,n1_lat_ms,p2p_amp
26,Large Ratio 0.83 (5:6),0.9833304285167943,96.0,6,-5.793072426939312,180.0,6.776402855456106
27,Large Ratio 0.67 (4:6),2.3810485746552486,112.0,10,-3.886976952774424,148.0,6.268025527429673
27,Large Ratio 0.8 (4:5),-0.08352484888608577,108.0,11,-2.096006658013915,184.0,2.0124818091278294
27,Large Ratio 0.83 (5:6),1.081955210682589,96.0,8,-4.043738077809923,148.0,5.125693288492512
28,Large Ratio 0.67 (4:6),2.887229881086362,116.0,10,-3.131672760934986,148.0,6.018902642021349
28,Large Ratio 0.8 (4:5),3.8076715487741626,112.0,5,-3.0709668669346932,176.0,6.878638415708856
29,Large Ratio 0.67 (4:6),2.920168457408846,104.0,12,-4.5229017141207,144.0,7.443070171529547
29,Large Ratio 0.8 (4:5),0.6343438730351967,104.0,10,-6.611704981362141,188.0,7.246048854397338
29,Large Ratio 0.83 (5:6),0.7439657008135303,108.0,5,-6.554735094529045,192.0,7.298700795342575
31,Large Ratio 0.67 (4:6),0.5026580096604462,96.0,14,-8.238169676421474,196.0,8.740827686081921
31,Large Ratio 0.8 (4:5),2.810405992999763,96.0,12,-3.053927624329305,144.0,5.864333617329068
31,Large Ratio 0.83 (5:6),0.6482952775843669,96.0,6,-2.875964235652193,204.0,3.5242595132365597
32,Large Ratio 0.67 (4:6),0.07210936941363207,108.0,13,-4.902491737696857,172.0,4.974601107110489
32,Large Ratio 0.8 (4:5),2.0781207199526883,112.0,8,-4.620102705299442,172.0,6.698223425252131
32,Large Ratio 0.83 (5:6),-3.0036862800560304,112.0,4,-9.308839349273857,156.0,6.305153069217827
33,Large Ratio 0.67 (4:6),4.945862989424079,104.0,13,-3.7081977387535705,156.0,8.65406072817765
33,Large Ratio 0.8 (4:5),1.6438680480566281,104.0,9,-4.353820767126336,140.0,5.997688815182964
33,Large Ratio 0.83 (5:6),3.3614576733036032,108.0,8,-6.887586872621408,160.0,10.249044545925011
