subject_id,condition,p1_amp,p1_lat_ms,n_epochs,n1_amp,n1_lat_ms,p2p_amp
12,Ratio 0.83 (5:6),0.9608694795768405,112.0,13,-4.644399157222178,196.0,5.6052686367990185
13,Ratio 0.5 (1:2),2.0306100996626735,112.0,38,-3.9232860296189265,204.0,5.9538961292816
13,Ratio 0.67 (2:3),4.442631893287355,112.0,24,-2.9722005744195026,204.0,7.414832467706857
13,Ratio 0.75 (3:4),3.590056476757283,112.0,15,-5.279034314873783,204.0,8.869090791631066
13,Ratio 0.8 (4:5),5.58587664007215,112.0,15,-1.593559300765109,204.0,7.179435940837259
13,Ratio 0.83 (5:6),3.995601935489354,112.0,13,-3.916298411806346,204.0,7.911900347295701
14,Ratio 0.5 (1:2),-1.6068313228888045,92.0,38,-3.402849128113598,172.0,1.7960178052247937
14,Ratio 0.67 (2:3),-0.8315654579329883,112.0,31,-3.6016948955332646,156.0,2.7701294376002763
14,Ratio 0.75 (3:4),-0.09287631949896592,92.0,13,-5.791152618020116,172.0,5.69827629852115
14,Ratio 0.8 (4:5),-1.0410034326839812,112.0,14,-7.506457913723423,176.0,6.465454481039442
14,Ratio 0.83 (5:6),-0.7837448716464092,112.0,12,-4.296616264112392,164.0,3.5128713924659825
15,Ratio 0.5 (1:2),-0.009587568431822626,96.0,34,-4.088501693383599,180.0,4.078914124951777
15,Ratio 0.67 (2:3),-0.2890941928554848,104.0,28,-4.25208039741919,184.0,3.9629862045637054
15,Ratio 0.75 (3:4),1.0320227025148248,112.0,12,-3.8248761585897877,160.0,4.856898861104613
15,Ratio 0.8 (4:5),0.11321147330373557,100.0,8,-4.806232626453515,192.0,4.919444099757251
15,Ratio 0.83 (5:6),-0.8680620799167994,100.0,13,-4.878871746680058,156.0,4.010809666763259
17,Ratio 0.5 (1:2),3.3954343542718752,112.0,34,-4.350546919315912,172.0,7.7459812735877875
17,Ratio 0.67 (2:3),3.5552484965152704,112.0,24,-4.734023188314639,176.0,8.28927168482991
17,Ratio 0.75 (3:4),4.817372313962947,112.0,16,-4.569602799248591,172.0,9.386975113211538
17,Ratio 0.8 (4:5),3.3117982189669934,112.0,11,-6.51785648839262,172.0,9.829654707359612
17,Ratio 0.83 (5:6),2.371404993424708,108.0,9,-4.794839517729474,192.0,7.166244511154182
21,Ratio 0.5 (1:2),1.1103859669728864,92.0,35,-8.028323989180931,180.0,9.138709956153818
21,Ratio 0.67 (2:3),0.04850602062559872,104.0,18,-6.746606985607261,196.0,6.795113006232859
21,Ratio 0.75 (3:4),1.851123608240987,96.0,11,-10.310323498806234,180.0,12.161447107047222
21,Ratio 0.8 (4:5),2.209842623757597,92.0,12,-8.410097796194744,184.0,10.619940419952341
21,Ratio 0.83 (5:6),0.4820510573454583,92.0,15,-9.957919910651084,160.0,10.439970967996542
22,Ratio 0.5 (1:2),-0.10539402933823036,92.0,35,-3.818967254325465,152.0,3.7135732249872344
